Category: All categories

Week,wordle: (United States)
2022-01-09,14
2022-01-16,31
2022-01-23,50
2022-01-30,74
2022-02-06,87
2022-02-13,100
2022-02-20,97
2022-02-27,92
2022-03-06,86
2022-03-13,83
2022-03-20,86
2022-03-27,86
2022-04-03,90
2022-04-10,81
2022-04-17,81
2022-04-24,74
2022-05-01,72
2022-05-08,71
2022-05-15,71
2022-05-22,63
2022-05-29,57
2022-06-05,58
2022-06-12,52
2022-06-19,51
2022-06-26,47
2022-07-03,50
2022-07-10,46
2022-07-17,47
2022-07-24,43
2022-07-31,44
2022-08-07,41
2022-08-14,43
2022-08-21,41
2022-08-28,41
2022-09-04,38
2022-09-11,42
2022-09-18,37
2022-09-25,35
2022-10-02,34
2022-10-09,38
2022-10-16,35
2022-10-23,36
2022-10-30,37
2022-11-06,32
2022-11-13,37
2022-11-20,35
2022-11-27,33
2022-12-04,35
2022-12-11,34
2022-12-18,35
2022-12-25,38
